en,nl,description,file,hash
Back to products,Terug naar producten,,site/modules/Mercato/ProcessMercato.module.php,dc30c2bfc6927bfd521e4c1f88b08f2c
Create Manual Order,Handmatige bestelling aanmaken,,site/modules/Mercato/ProcessMercato.module.php,a4ed4cf9d1051814738e7d3aacb432ae
Customer not found.,Klant niet gevonden.,,site/modules/Mercato/ProcessMercato.module.php,7225f62716ea3488a1347e996614fe38
Mercato Customer,Mercato-klant,,site/modules/Mercato/ProcessMercato.module.php,ac969a0529b0bd4202e1c0d9b7f8711a
Mercato Customers,Mercato-klanten,,site/modules/Mercato/ProcessMercato.module.php,38c2e55b5d69c69467df99d090dc3c89
Mercato Dashboard,Mercato-dashboard,,site/modules/Mercato/ProcessMercato.module.php,38eedbc862157fabe27e233524dabe37
Mercato Discounts,Mercato-kortingen,,site/modules/Mercato/ProcessMercato.module.php,d53b8583aa2ea73ac019ffa13ec9529c
Mercato Fulfilment,Mercato-afhandeling,,site/modules/Mercato/ProcessMercato.module.php,7493c7177e2b08a8509ae2a78b53406e
Mercato Inventory,Mercato-voorraad,,site/modules/Mercato/ProcessMercato.module.php,d0a17834ca62275c0f7a7d0bedc2644a
Mercato Launch Checklist,Mercato-lanceringschecklist,,site/modules/Mercato/ProcessMercato.module.php,5f4088f0886bd4954cee5e37455d0cc7
Mercato Orders,Mercato-bestellingen,,site/modules/Mercato/ProcessMercato.module.php,fcef20e9c973e30cb8a97d5366da02a3
Mercato Payment Attempts,Mercato-betalingspogingen,,site/modules/Mercato/ProcessMercato.module.php,fcd99ec9d9400b1d916bcccff9141cdf
Mercato Product Detail,Mercato-productdetail,,site/modules/Mercato/ProcessMercato.module.php,84e07d7e23da6ab675713109672dbc23
Mercato Products,Mercato-producten,,site/modules/Mercato/ProcessMercato.module.php,5d93c2db13eef106d57ffd48aa2939af
Mercato Recovery,Mercato-herstel,,site/modules/Mercato/ProcessMercato.module.php,24096fda63e9a0ddf2ad223737601e80
