en,et,description,file,hash
Back to products,Tagasi toodete juurde,,site/modules/Mercato/ProcessMercato.module.php,dc30c2bfc6927bfd521e4c1f88b08f2c
Create Manual Order,Loo käsitsi tellimus,,site/modules/Mercato/ProcessMercato.module.php,a4ed4cf9d1051814738e7d3aacb432ae
Customer not found.,Klienti ei leitud.,,site/modules/Mercato/ProcessMercato.module.php,7225f62716ea3488a1347e996614fe38
Mercato Customer,Mercato klient,,site/modules/Mercato/ProcessMercato.module.php,ac969a0529b0bd4202e1c0d9b7f8711a
Mercato Customers,Mercato kliendid,,site/modules/Mercato/ProcessMercato.module.php,38c2e55b5d69c69467df99d090dc3c89
Mercato Dashboard,Mercato töölaud,,site/modules/Mercato/ProcessMercato.module.php,38eedbc862157fabe27e233524dabe37
Mercato Discounts,Mercato allahindlused,,site/modules/Mercato/ProcessMercato.module.php,d53b8583aa2ea73ac019ffa13ec9529c
Mercato Fulfilment,Mercato täitmine,,site/modules/Mercato/ProcessMercato.module.php,7493c7177e2b08a8509ae2a78b53406e
Mercato Inventory,Mercato laoseis,,site/modules/Mercato/ProcessMercato.module.php,d0a17834ca62275c0f7a7d0bedc2644a
Mercato Launch Checklist,Mercato käivitamise kontrollnimekiri,,site/modules/Mercato/ProcessMercato.module.php,5f4088f0886bd4954cee5e37455d0cc7
Mercato Orders,Mercato tellimused,,site/modules/Mercato/ProcessMercato.module.php,fcef20e9c973e30cb8a97d5366da02a3
Mercato Payment Attempts,Mercato maksekatsed,,site/modules/Mercato/ProcessMercato.module.php,fcd99ec9d9400b1d916bcccff9141cdf
Mercato Product Detail,Mercato toote detailvaade,,site/modules/Mercato/ProcessMercato.module.php,84e07d7e23da6ab675713109672dbc23
Mercato Products,Mercato tooted,,site/modules/Mercato/ProcessMercato.module.php,5d93c2db13eef106d57ffd48aa2939af
Mercato Recovery,Mercato taastamine,,site/modules/Mercato/ProcessMercato.module.php,24096fda63e9a0ddf2ad223737601e80
Mercato Refunds,Mercato tagasimaksed,,site/modules/Mercato/ProcessMercato.module.php,d10e8f9edde5ba9dfe8b65cf4e8fca98
Mercato Reports,Mercato aruanded,,site/modules/Mercato/ProcessMercato.module.php,21ebde301a7a211498fb4b3d01c16261
Mercato Search,Mercato otsing,,site/modules/Mercato/ProcessMercato.module.php,5fbd491d73a66e0fff4a1ee4f9624707
Mercato Webhooks,Mercato veebihaagid,,site/modules/Mercato/ProcessMercato.module.php,8d1028877c92eb817d8854781d47e2ee
Order Detail,Tellimuse detailvaade,,site/modules/Mercato/ProcessMercato.module.php,6749752799c78ed976b9f03cb6e50cce
Order not found.,Tellimust ei leitud.,,site/modules/Mercato/ProcessMercato.module.php,149ad34562bd32ca88aac01cd023fce5
Order Timeline,Tellimuse ajajoon,,site/modules/Mercato/ProcessMercato.module.php,eed5f1931d938be6182018978b9a4c8d
Product not found,Toodet ei leitud,,site/modules/Mercato/ProcessMercato.module.php,dfbe69c6d9568ecb0e65e7b32ed92a3a
Address shown to customers choosing pickup.,"Aadress, mida näidatakse järeletuleku valinud klientidele.",,site/modules/Mercato/src/MercatoConfigInputfields.php,8ca4a8a6eb89945256b1d976130cbeb3
Advanced / Debug,Täpsemad / silumine,,site/modules/Mercato/src/MercatoConfigInputfields.php,953b9fe2b63464f0b0822feba15a48f0
After amount (12.99 €),Summa järel (12.99 €),,site/modules/Mercato/src/MercatoConfigInputfields.php,cce002739944e9374f973f33d26a63e2
"After saving the webhook, reveal and copy the Signing secret (whsec_...) into the field below.",Pärast veebihaagi salvestamist ava ja kopeeri allkirjastamise saladus (whsec_...) allolevale väljale.,,site/modules/Mercato/src/MercatoConfigInputfields.php,9f5474045234685da9520841374c2914
Allowed delivery countries,Lubatud tarneriigid,,site/modules/Mercato/src/MercatoConfigInputfields.php,48aed1551811e63953baaa9b20bb04c2
Automatic asset loading,Automaatne ressursside laadimine,,site/modules/Mercato/src/MercatoConfigInputfields.php,3d0c79b3b3cada129942490665347acc
Automatic cleanup uses ProcessWire LazyCron. Manual cleanup remains available in the Launch tab.,"Automaatne koristus kasutab ProcessWire LazyCron't. Käsitsi koristus on jätkuvalt saadaval vahekaardil ""Käivitamine"".",,site/modules/Mercato/src/MercatoConfigInputfields.php,78995121d39498cb8f097d0e72cfc594
Available checkout methods,Saadaolevad kassameetodid,,site/modules/Mercato/src/MercatoConfigInputfields.php,293bd3c754e972e04500e3b6c1d8e45e
