en,ro,description,file,hash
Back to products,Înapoi la produse,,site/modules/Mercato/ProcessMercato.module.php,dc30c2bfc6927bfd521e4c1f88b08f2c
Create Manual Order,Creează Comandă Manuală,,site/modules/Mercato/ProcessMercato.module.php,a4ed4cf9d1051814738e7d3aacb432ae
Customer not found.,Clientul nu a fost găsit.,,site/modules/Mercato/ProcessMercato.module.php,7225f62716ea3488a1347e996614fe38
Mercato Customer,Client Mercato,,site/modules/Mercato/ProcessMercato.module.php,ac969a0529b0bd4202e1c0d9b7f8711a
Mercato Customers,Clienți Mercato,,site/modules/Mercato/ProcessMercato.module.php,38c2e55b5d69c69467df99d090dc3c89
Mercato Dashboard,Dashboard Mercato,,site/modules/Mercato/ProcessMercato.module.php,38eedbc862157fabe27e233524dabe37
Mercato Discounts,Reduceri Mercato,,site/modules/Mercato/ProcessMercato.module.php,d53b8583aa2ea73ac019ffa13ec9529c
Mercato Fulfilment,Onorare Mercato,,site/modules/Mercato/ProcessMercato.module.php,7493c7177e2b08a8509ae2a78b53406e
Mercato Inventory,Inventar Mercato,,site/modules/Mercato/ProcessMercato.module.php,d0a17834ca62275c0f7a7d0bedc2644a
Mercato Launch Checklist,Listă de Verificare pentru Lansare Mercato,,site/modules/Mercato/ProcessMercato.module.php,5f4088f0886bd4954cee5e37455d0cc7
Mercato Orders,Comenzi Mercato,,site/modules/Mercato/ProcessMercato.module.php,fcef20e9c973e30cb8a97d5366da02a3
Mercato Payment Attempts,Încercări de Plată Mercato,,site/modules/Mercato/ProcessMercato.module.php,fcd99ec9d9400b1d916bcccff9141cdf
Mercato Product Detail,Detaliu Produs Mercato,,site/modules/Mercato/ProcessMercato.module.php,84e07d7e23da6ab675713109672dbc23
Mercato Products,Produse Mercato,,site/modules/Mercato/ProcessMercato.module.php,5d93c2db13eef106d57ffd48aa2939af
Mercato Recovery,Recuperare Mercato,,site/modules/Mercato/ProcessMercato.module.php,24096fda63e9a0ddf2ad223737601e80
Mercato Refunds,Rambursări Mercato,,site/modules/Mercato/ProcessMercato.module.php,d10e8f9edde5ba9dfe8b65cf4e8fca98
Mercato Reports,Rapoarte Mercato,,site/modules/Mercato/ProcessMercato.module.php,21ebde301a7a211498fb4b3d01c16261
Mercato Search,Căutare Mercato,,site/modules/Mercato/ProcessMercato.module.php,5fbd491d73a66e0fff4a1ee4f9624707
Mercato Webhooks,Webhook-uri Mercato,,site/modules/Mercato/ProcessMercato.module.php,8d1028877c92eb817d8854781d47e2ee
Order Detail,Detaliul Comenzii,,site/modules/Mercato/ProcessMercato.module.php,6749752799c78ed976b9f03cb6e50cce
Order not found.,Comanda nu a fost găsită.,,site/modules/Mercato/ProcessMercato.module.php,149ad34562bd32ca88aac01cd023fce5
Order Timeline,Cronologia Comenzii,,site/modules/Mercato/ProcessMercato.module.php,eed5f1931d938be6182018978b9a4c8d
Product not found,Produs negăsit,,site/modules/Mercato/ProcessMercato.module.php,dfbe69c6d9568ecb0e65e7b32ed92a3a
Address shown to customers choosing pickup.,Adresă afișată clienților care aleg ridicarea.,,site/modules/Mercato/src/MercatoConfigInputfields.php,8ca4a8a6eb89945256b1d976130cbeb3
Advanced / Debug,Avansat / Depanare,,site/modules/Mercato/src/MercatoConfigInputfields.php,953b9fe2b63464f0b0822feba15a48f0
After amount (12.99 €),"După sumă (12,99 €)",,site/modules/Mercato/src/MercatoConfigInputfields.php,cce002739944e9374f973f33d26a63e2
"After saving the webhook, reveal and copy the Signing secret (whsec_...) into the field below.","După salvarea webhook-ului, afișați și copiați secretul de semnare (whsec_...) în câmpul de mai jos.",,site/modules/Mercato/src/MercatoConfigInputfields.php,9f5474045234685da9520841374c2914
Allowed delivery countries,Țări de livrare permise,,site/modules/Mercato/src/MercatoConfigInputfields.php,48aed1551811e63953baaa9b20bb04c2
Automatic asset loading,Încărcare automată a resurselor,,site/modules/Mercato/src/MercatoConfigInputfields.php,3d0c79b3b3cada129942490665347acc
Automatic cleanup uses ProcessWire LazyCron. Manual cleanup remains available in the Launch tab.,Curățarea automată utilizează ProcessWire LazyCron. Curățarea manuală rămâne disponibilă în fila Lansare.,,site/modules/Mercato/src/MercatoConfigInputfields.php,78995121d39498cb8f097d0e72cfc594
Available checkout methods,Metode de checkout disponibile,,site/modules/Mercato/src/MercatoConfigInputfields.php,293bd3c754e972e04500e3b6c1d8e45e
Bank transfer instructions,Instrucțiuni pentru transfer bancar,,site/modules/Mercato/src/MercatoConfigInputfields.php,1b6c9ccaee81d31161eb397f3929ccd1
Before amount (€ 12.99),"Înainte de sumă (€ 12,99)",,site/modules/Mercato/src/MercatoConfigInputfields.php,676f9273aa4eed98b0e4e25224722769
Bootstrap CSS CDN URL,URL CDN CSS Bootstrap,,site/modules/Mercato/src/MercatoConfigInputfields.php,8181092ed55b3dd5ea2520d5574962f8
Cancel / back page,Pagină de anulare / revenire,,site/modules/Mercato/src/MercatoConfigInputfields.php,01754d77b494cd3004d52a5acf64f7ca
Carrier delivery label,Etichetă livrare prin curier,,site/modules/Mercato/src/MercatoConfigInputfields.php,ed4a094db0a6a395effe1be591c98f23
Cart retention,Reținere coș,,site/modules/Mercato/src/MercatoConfigInputfields.php,65b8cddd975764cccd1e023abe750ff6
Checkout delivery windows,Intervale de livrare la checkout,,site/modules/Mercato/src/MercatoConfigInputfields.php,64c83f0285ca691bcbac3b9c47da85fb
Checkout policy pages,Pagini de politici la checkout,,site/modules/Mercato/src/MercatoConfigInputfields.php,c66394c5a2251ef26258eaf8beb01aee
Comma-separated prefixes. Leave blank to allow all postcodes.,Prefixe separate prin virgulă. Lăsați necompletat pentru a permite toate codurile poștale.,,site/modules/Mercato/src/MercatoConfigInputfields.php,0ad5e6cde4e71507157f8f81c23c1382
Controls how displayed tax totals are rounded. Stored order totals remain frozen after checkout.,Controlează modul în care sunt rotunjite totalurile de taxă afișate. Totalurile comenzii stocate rămân neschimbate după checkout.,,site/modules/Mercato/src/MercatoConfigInputfields.php,b69ebeb87b2727726ffb5ec31c4cf0df
Controls tax breakdown display. Included keeps the current gross-price model; No tax hides tax rows without changing payable totals.,Controlează afișarea detalierii taxelor. „Inclus” păstrează modelul actual de preț brut; „Fără taxă” ascunde liniile de taxă fără a modifica totalurile de plată.,,site/modules/Mercato/src/MercatoConfigInputfields.php,2a878a6d141955c430c86ee98beafb96
"Controls the default Mercato frontend templates: product, checkout, and success.","Controlează șabloanele implicite Mercato pentru frontend: produs, checkout și succes.",,site/modules/Mercato/src/MercatoConfigInputfields.php,916c6438418d2a9da8016a86c7d8e4df
copied only when missing,copiat doar dacă lipsește,,site/modules/Mercato/src/MercatoConfigInputfields.php,8424478681a758ba1a121a92e4fbd8f8
copied with overwrite enabled,copiat cu suprascriere activată,,site/modules/Mercato/src/MercatoConfigInputfields.php,cf938f6daed768503c22f5f057cb052f
Copy the Sandbox Client ID and Secret for testing. Copy Live credentials only when you are ready for production review.,Copiați Client ID și Secret din Sandbox pentru testare. Copiați acreditările Live doar când sunteți pregătit pentru revizuirea de producție.,,site/modules/Mercato/src/MercatoConfigInputfields.php,61e2d6728675411f8f906966da473bf2
Create a webhook for this endpoint and copy its Webhook ID into the matching Sandbox or Live field:,Creați un webhook pentru acest endpoint și copiați Webhook ID-ul acestuia în câmpul corespunzător Sandbox sau Live:,,site/modules/Mercato/src/MercatoConfigInputfields.php,1c5ec0b0e51b8a2298e5cb578644c75d
Currency code (ISO 4217),Cod monedă (ISO 4217),,site/modules/Mercato/src/MercatoConfigInputfields.php,e55bade0ee4d4ea96b18ff8aade224c3
Currency symbol,Simbol monedă,,site/modules/Mercato/src/MercatoConfigInputfields.php,62f9da2dd4df9ed3b5312a77186956c8
Customer data retention,Reținere date client,,site/modules/Mercato/src/MercatoConfigInputfields.php,dcfd4a0ecaa0aca9b123e487971468a6
Customer redirects return to the configured Mercato pages:,Redirecționările clientului revin la paginile Mercato configurate:,,site/modules/Mercato/src/MercatoConfigInputfields.php,6154052a44ff6831cf4e2a34f4e47b2a
Default checkout method,Metodă de checkout implicită,,site/modules/Mercato/src/MercatoConfigInputfields.php,d4b747f0b6f2a405735b37654d6db62d
