en,sk,description,file,hash
Back to products,Späť na produkty,,site/modules/Mercato/ProcessMercato.module.php,dc30c2bfc6927bfd521e4c1f88b08f2c
Create Manual Order,Vytvoriť Manuálnu Objednávku,,site/modules/Mercato/ProcessMercato.module.php,a4ed4cf9d1051814738e7d3aacb432ae
Customer not found.,Zákazník nebol nájdený.,,site/modules/Mercato/ProcessMercato.module.php,7225f62716ea3488a1347e996614fe38
Mercato Customer,Zákazník Mercato,,site/modules/Mercato/ProcessMercato.module.php,ac969a0529b0bd4202e1c0d9b7f8711a
Mercato Customers,Zákazníci Mercato,,site/modules/Mercato/ProcessMercato.module.php,38c2e55b5d69c69467df99d090dc3c89
Mercato Dashboard,Dashboard Mercato,,site/modules/Mercato/ProcessMercato.module.php,38eedbc862157fabe27e233524dabe37
Mercato Discounts,Zľavy Mercato,,site/modules/Mercato/ProcessMercato.module.php,d53b8583aa2ea73ac019ffa13ec9529c
Mercato Fulfilment,Vybavenie Mercato,,site/modules/Mercato/ProcessMercato.module.php,7493c7177e2b08a8509ae2a78b53406e
Mercato Inventory,Inventár Mercato,,site/modules/Mercato/ProcessMercato.module.php,d0a17834ca62275c0f7a7d0bedc2644a
Mercato Launch Checklist,Kontrolný Zoznam Spustenia Mercato,,site/modules/Mercato/ProcessMercato.module.php,5f4088f0886bd4954cee5e37455d0cc7
Mercato Orders,Objednávky Mercato,,site/modules/Mercato/ProcessMercato.module.php,fcef20e9c973e30cb8a97d5366da02a3
Mercato Payment Attempts,Pokusy o Platbu Mercato,,site/modules/Mercato/ProcessMercato.module.php,fcd99ec9d9400b1d916bcccff9141cdf
Mercato Product Detail,Detail Produktu Mercato,,site/modules/Mercato/ProcessMercato.module.php,84e07d7e23da6ab675713109672dbc23
Mercato Products,Produkty Mercato,,site/modules/Mercato/ProcessMercato.module.php,5d93c2db13eef106d57ffd48aa2939af
Mercato Recovery,Obnovenie Mercato,,site/modules/Mercato/ProcessMercato.module.php,24096fda63e9a0ddf2ad223737601e80
Mercato Refunds,Refundácie Mercato,,site/modules/Mercato/ProcessMercato.module.php,d10e8f9edde5ba9dfe8b65cf4e8fca98
Mercato Reports,Prehľady Mercato,,site/modules/Mercato/ProcessMercato.module.php,21ebde301a7a211498fb4b3d01c16261
Mercato Search,Vyhľadávanie Mercato,,site/modules/Mercato/ProcessMercato.module.php,5fbd491d73a66e0fff4a1ee4f9624707
Mercato Webhooks,Webhooky Mercato,,site/modules/Mercato/ProcessMercato.module.php,8d1028877c92eb817d8854781d47e2ee
Order Detail,Detail Objednávky,,site/modules/Mercato/ProcessMercato.module.php,6749752799c78ed976b9f03cb6e50cce
Order not found.,Objednávka nebola nájdená.,,site/modules/Mercato/ProcessMercato.module.php,149ad34562bd32ca88aac01cd023fce5
Order Timeline,Časová Os Objednávky,,site/modules/Mercato/ProcessMercato.module.php,eed5f1931d938be6182018978b9a4c8d
Product not found,Produkt nebol nájdený,,site/modules/Mercato/ProcessMercato.module.php,dfbe69c6d9568ecb0e65e7b32ed92a3a
Address shown to customers choosing pickup.,"Adresa zobrazená zákazníkom, ktorí si zvolia vyzdvihnutie.",,site/modules/Mercato/src/MercatoConfigInputfields.php,8ca4a8a6eb89945256b1d976130cbeb3
Advanced / Debug,Rozšírené / Ladenie,,site/modules/Mercato/src/MercatoConfigInputfields.php,953b9fe2b63464f0b0822feba15a48f0
After amount (12.99 €),"Po dosiahnutí sumy (12,99 €)",,site/modules/Mercato/src/MercatoConfigInputfields.php,cce002739944e9374f973f33d26a63e2
"After saving the webhook, reveal and copy the Signing secret (whsec_...) into the field below.",Po uložení webhooku zobrazte a skopírujte podpisový kľúč (whsec_...) do poľa nižšie.,,site/modules/Mercato/src/MercatoConfigInputfields.php,9f5474045234685da9520841374c2914
Allowed delivery countries,Povolené krajiny doručenia,,site/modules/Mercato/src/MercatoConfigInputfields.php,48aed1551811e63953baaa9b20bb04c2
Automatic asset loading,Automatické načítanie zdrojov,,site/modules/Mercato/src/MercatoConfigInputfields.php,3d0c79b3b3cada129942490665347acc
Automatic cleanup uses ProcessWire LazyCron. Manual cleanup remains available in the Launch tab.,Automatické čistenie využíva ProcessWire LazyCron. Manuálne čistenie zostáva dostupné na karte Spustenie.,,site/modules/Mercato/src/MercatoConfigInputfields.php,78995121d39498cb8f097d0e72cfc594
Available checkout methods,Dostupné metódy checkoutu,,site/modules/Mercato/src/MercatoConfigInputfields.php,293bd3c754e972e04500e3b6c1d8e45e
Bank transfer instructions,Pokyny na bankový prevod,,site/modules/Mercato/src/MercatoConfigInputfields.php,1b6c9ccaee81d31161eb397f3929ccd1
Before amount (€ 12.99),"Pred sumou (€ 12,99)",,site/modules/Mercato/src/MercatoConfigInputfields.php,676f9273aa4eed98b0e4e25224722769
Bootstrap CSS CDN URL,URL CDN CSS Bootstrap,,site/modules/Mercato/src/MercatoConfigInputfields.php,8181092ed55b3dd5ea2520d5574962f8
Cancel / back page,Stránka zrušenia / návratu,,site/modules/Mercato/src/MercatoConfigInputfields.php,01754d77b494cd3004d52a5acf64f7ca
Carrier delivery label,Označenie doručenia kuriérom,,site/modules/Mercato/src/MercatoConfigInputfields.php,ed4a094db0a6a395effe1be591c98f23
Cart retention,Uchovávanie košíka,,site/modules/Mercato/src/MercatoConfigInputfields.php,65b8cddd975764cccd1e023abe750ff6
Checkout delivery windows,Časové okná doručenia pri checkoute,,site/modules/Mercato/src/MercatoConfigInputfields.php,64c83f0285ca691bcbac3b9c47da85fb
Checkout policy pages,Stránky politík pri checkoute,,site/modules/Mercato/src/MercatoConfigInputfields.php,c66394c5a2251ef26258eaf8beb01aee
Comma-separated prefixes. Leave blank to allow all postcodes.,"Predpony oddelené čiarkou. Ponechajte prázdne, ak chcete povoliť všetky PSČ.",,site/modules/Mercato/src/MercatoConfigInputfields.php,0ad5e6cde4e71507157f8f81c23c1382
